reparticion,rubro,total
Ministerio De Cultura,Alimentación y Gastronomía,40.73825
Ministerio de Gobierno,Construcción ,40.29
Secretaria De Ambiente,Electricidad y Electrónica,39.837
Direccion General De Estadisticas Y Censos,Construcción ,35.628604615
Unidad De Proyectos Especiales Museo De Arte Moderno (Upemam),Cultura Deporte y Recreación,35.1185
Unidad De Proyectos Especiales Museo De Arte Moderno (Upemam),Electricidad y Electrónica,34.2252
Unidad De Proyectos Especiales Museo De Arte Moderno (Upemam),Máquinas y Herramientas,33.8577
Ministerio De Cultura,Cultura Deporte y Recreación,33.4176815
Ministerio De Educacion,Ferretería,33.1911938
Direccion General De Estadisticas Y Censos,Informática ,29.8781549
Ente Autarquico Teatro Colon,Materia Prima y/o Semi Elaborada No Metálica,29.337546000000003
Dir.Gral.De Compras Y Contrataciones,Equipamiento para Oficina,28.865188600000003
Htal. Maria Ferrer,Reservado para GCBA ,28.101719699999997
Ministerio De Desarrollo Económico Y Producción,Seguridad ,27.0556
Ministerio De Salud,Máquinas y Herramientas,25.76144
Agencia Ambiental,Informática ,25.4553
Secretaria Legal Y Tecnica,Reservado para GCBA ,25.2
Secretaría De Transporte Y Obras Públicas,Informática ,25.194
Ministerio de Gobierno,Equipamiento para Oficina,25.08
Administ. Gubernamental De Ingresos Publicos,Construcción ,24.807475
Secretaría De Transporte Y Obras Públicas,Textil Confección y Calzado ,24.8
Plan De Seguridad  Publica,Ferretería,24.336593399999998
Ministerio De Educacion,Textil Confección y Calzado ,23.826473600000003
Secretaría De Transporte Y Obras Públicas,Construcción ,23.511
Htal. Juan A. Fernandez,Reservado para GCBA ,23.359866
Ministerio Desarrollo Humano Y Hábitat,Promoción y Publicidad ,22.538130000000002
Dir. Gral Centro Cultural Recoleta,Construcción ,22.3098756
Htal. Dalmacio Velez Sarsfield,Culto,22.05996
Agencia Ambiental,Vehículos,21.926
Htal. Francisco J.Muñiz,Culto,21.68
Htal. Carlos G. Durand,Reservado para GCBA ,21.5978
Htal. Parmenio Piñero,Informática ,21.400844
Secretaria De Deportes,Cultura Deporte y Recreación,21.39267
Secretaria De Ambiente,Construcción ,21.2
Unidad De Proyectos Especiales Museo De Arte Moderno (Upemam),Perfumería Limpieza y Contenedores Comerciales e Industriales,21.15
Htal. Bernardino Rivadavia,Reservado para GCBA ,20.815827000000002
Administ. Gubernamental De Ingresos Publicos,Seguridad ,20.6906136
Ministerio De Salud,Servicios,20.2875
Htal. Jose M.Ramos Mejia,Reservado para GCBA ,19.65221
Ente Autarquico Teatro Colon,Electricidad y Electrónica,19.36132
Subsecretaria De Gestión De Recursos Humanos,Servicios,19.1639812
Instituto Superior De Seguridad Publica,Construcción ,19.023600000000002
Procuracion General De La Ciudad,Servicios,17.9312592
Htal. Bernardino Rivadavia,Equipamiento para Oficina,17.7852
Ministerio Desarrollo Humano Y Hábitat,Alimentación y Gastronomía,17.6523
Subsecretaria De Emergencias,Construcción ,17.4889562
Htal.Donacion Francisco Santojanni,Informática ,17.205736
Jefatura De Gabinete De Ministros,Perfumería Limpieza y Contenedores Comerciales e Industriales,17.1347626
Ministerio de Gobierno,Alimentación y Gastronomía,16.5933365
Agencia Ambiental,Servicios,16.512
Htal. Bernardino Rivadavia,Construcción ,16.107022
Ministerio Desarrollo Humano Y Hábitat,Servicios,15.821670999999998
Ente Autarquico Teatro Colon,Informática ,15.485999999999999
Secretaria Legal Y Tecnica,Comunicaciones,15.228
Unidad De Proyectos Especiales Museo De Arte Moderno (Upemam),Materia Prima y/o Semi Elaborada No Metálica,15.06445
Ente De Mantenimiento Urbano Integral,Seguridad ,14.899480800000001
Jefatura De Gabinete De Ministros,Seguridad ,14.63662
Unidad De Proyectos Especiales Museo De Arte Moderno (Upemam),Servicios,14.474580000000001
Htal. Jose M. Penna,Artes Gráficas Duplicación y Equipamiento para Impresión ,14.44839784
Dir. Gral Complejo Teatral Ciudad De Buenos Aires,Construcción ,14.252
Ministerio Desarrollo Humano Y Hábitat,Vehículos,14.246
Dir. Gral Centro Cultural General San Martin,Construcción ,13.7402
Htal. Ignacio Pirovano,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,13.479
Htal. Francisco J.Muñiz,Muebles,13.215720000000001
Htal. Enrique Tornu,Perfumería Limpieza y Contenedores Comerciales e Industriales,13.194594399999998
Htal. Bernardino Rivadavia,Informática ,12.9392
Htal. Dalmacio Velez Sarsfield,Perfumería Limpieza y Contenedores Comerciales e Industriales,12.727005
Htal. Jose M.Ramos Mejia,Construcción ,12.472
Htal. Enrique Tornu,Construcción ,12.35387
Plan De Seguridad  Publica,Cultura Deporte y Recreación,12.2077977
Dir. Gral De Ensenanza Artistica,Alimentación y Gastronomía,12.0954544
Ministerio De Cultura,Promoción y Publicidad ,11.988
Agencia Sistemas De Informacion,Servicios,11.6655
Consejo De Los Derechos De Las Niñas Niños Y  Adolescentes,Seguridad ,11.291091300000001
Htal. Jose M.Ramos Mejia,Perfumería Limpieza y Contenedores Comerciales e Industriales,11.245
Ministerio De Cultura,Informática ,10.89136
Htal. Jose M. Penna,Reservado para GCBA ,10.25685
Ente Autarquico Instituto De Transplante,Reservado para GCBA ,10.02816
Htal. Ramon Sarda,Equipamiento para Oficina,10.011
Ministerio De Justicia Y Seguridad,Seguridad ,9.872736119999999
Instituto De Rehabilitacion Psicofica,Materia Prima y/o Semi Elaborada No Metálica,9.722823
Secretaría De Transporte Y Obras Públicas,Comunicaciones,9.5657111
Unidad De Proyectos Especiales Museo De Arte Moderno (Upemam),Muebles,9.38656
Htal. Jose M. Penna,Informática ,9.357240000000001
Htal. Carolina Tobar Garcia,Salud,9.234886600000001
Htal. Cosme Argerich,Muebles,9.19915
Ministerio de Gobierno,Promoción y Publicidad ,9.152999999999999
Htal. Cosme Argerich,Construcción ,9.13739
Dir. Gral Centro Cultural Recoleta,Textil Confección y Calzado ,8.8064896
Htal. Dalmacio Velez Sarsfield,Informática ,8.38982
Htal. Parmenio Piñero,Culto,8.3775128
Ente De Mantenimiento Urbano Integral,Servicios,8.260329682
Consejo De Los Derechos De Las Niñas Niños Y  Adolescentes,Construcción ,8.1654244
Comuna 1,Perfumería Limpieza y Contenedores Comerciales e Industriales,8.162265600000001
Htal. Ignacio Pirovano,Informática ,8.0001545
Htal. Maria Curie,Máquinas y Herramientas,7.83034
Htal. Odontologico Quinquela Martin,Salud,7.65282
Jefatura De Gabinete De Ministros,Promoción y Publicidad ,7.602
Consejo De Los Derechos De Las Niñas Niños Y  Adolescentes,Muebles,7.5
Htal. Jose M.Ramos Mejia,Textil Confección y Calzado ,7.5
Ministerio de Gobierno,Electricidad y Electrónica,7.48
Dir. Gral Complejo Teatral Ciudad De Buenos Aires,Cultura Deporte y Recreación,7.2647111
Upe Ecoparque Interactivo De La Caba,Servicios,7.18506
Ministerio De Educacion,Reservado para GCBA ,7.15
Dir.Gral.De Compras Y Contrataciones,Agricultura Ganadería y Espacios Verdes,6.843459
Dir.Gral.Adjunta Same,Vehículos,6.83892
Htal. Abel Zubizarreta,Construcción ,6.8158628000000006
Ministerio de Gobierno,Comunicaciones,6.7376092
Htal. Ricardo Gutierrez,Máquinas y Herramientas,6.69182
Vicejefatura De Gobierno,Construcción ,6.675000000000001
Talleres Protegidos De Rehab.Psiquiat.,Alimentación y Gastronomía,6.631854
Ente Autarquico Teatro Colon,Comunicaciones,6.6240000000000006
Instituto De Rehabilitacion Psicofica,Textil Confección y Calzado ,6.456085
Instituto De Rehabilitacion Psicofica,Reservado para GCBA ,6.398750000000001
Dir.Gral.De Tesoreria,Informática ,6.323250000000001
Htal. Ignacio Pirovano,Perfumería Limpieza y Contenedores Comerciales e Industriales,6.2445
Htal.Teodoro Alvarez,Alimentación y Gastronomía,6.23
Htal. Jose M. Penna,Construcción ,6.22426
Comuna 12,Perfumería Limpieza y Contenedores Comerciales e Industriales,6.04833
Htal.Donacion Francisco Santojanni,Reservado para GCBA ,5.9513
Htal.Donacion Francisco Santojanni,Equipamiento para Oficina,5.705800000000001
Htal. Cosme Argerich,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,5.7024
Htal. Juan A. Fernandez,Perfumería Limpieza y Contenedores Comerciales e Industriales,5.6678299999999995
Htal. Ignacio Pirovano,Muebles,5.641717
Instituto De Rehabilitacion Psicofica,Construcción ,5.595
Htal. Ricardo Gutierrez,Reservado para GCBA ,5.5736
Unidad De Proyectos Especiales Museo De Arte Moderno (Upemam),Comunicaciones,5.505
Htal. Maria Curie,Electricidad y Electrónica,5.42404
Htal. Ricardo Gutierrez,Construcción ,5.3420000000000005
Cai Cecilia Grierson,Construcción ,5.24
Htal. Bernardino Rivadavia,Electricidad y Electrónica,5.1823
Dir.Gral.De Compras Y Contrataciones,Salud,5.0654580000000005
Unidad De Proyectos Especiales Museo De Arte Moderno (Upemam),Textil Confección y Calzado ,4.95
Dir. Gral Centro Cultural Recoleta,Electricidad y Electrónica,4.7756992
Htal. Pedro De Elizalde,Perfumería Limpieza y Contenedores Comerciales e Industriales,4.716665000000001
Dir.Gral. De Festivales Y Eventos Centrales,Perfumería Limpieza y Contenedores Comerciales e Industriales,4.645239999999999
Ente Autarquico Teatro Colon,Equipamiento para Oficina,4.5799955
Dir.Gral.De Compras Y Contrataciones,Materia Prima y/o Semi Elaborada No Metálica,4.5650303999999995
Ente Autarquico Teatro Colon,Salud,4.5613624
Htal. Ignacio Pirovano,Reservado para GCBA ,4.45087
Ministerio De Cultura,Máquinas y Herramientas,4.3608
Unidad De Proyectos Especiales Museo De Arte Moderno (Upemam),Vehículos,4.281686
Cai Cecilia Grierson,Culto,4.26411
Htal. Ricardo Gutierrez,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,4.2024804
Dir. Gral Complejo Teatral Ciudad De Buenos Aires,Comunicaciones,4.2
Htal. Maria Curie,Artes Gráficas Duplicación y Equipamiento para Impresión ,3.9929
Dir.Gral.De Compras Y Contrataciones,Electricidad y Electrónica,3.930576
Subsecretaria De Gestion Cultural,Cultura Deporte y Recreación,3.914
Ministerio De Educacion,Perfumería Limpieza y Contenedores Comerciales e Industriales,3.8207253
Htal. Maria Curie,Perfumería Limpieza y Contenedores Comerciales e Industriales,3.804474
Dir. Gral Centro Cultural Recoleta,Comunicaciones,3.7990000000000004
Htal. Maria Curie,Reservado para GCBA ,3.7502240000000002
Dir.Gral.Adjunta Same,Salud,3.716152
Instituto De Rehabilitacion Psicofica,Ferretería,3.537494
Htal. Manuel Rocca,Informática ,3.4439024
Secretaria De Ambiente,Comunicaciones,3.42
Dir. Gral De Ensenanza Artistica,Construcción ,3.4082258000000003
Dir. Gral Centro Cultural Recoleta,Artes Gráficas Duplicación y Equipamiento para Impresión ,3.3594576
Htal. Bernardino Rivadavia,Ferretería,3.2796
Ministerio de Gobierno,Informática ,3.2685326000000003
Htal. Bernardino Rivadavia,Textil Confección y Calzado ,3.2120184000000003
Htal. Juan A. Fernandez,Culto,3.20892
Administ. Gubernamental De Ingresos Publicos,Cultura Deporte y Recreación,3.1249000000000002
Ente De Turismo,Cultura Deporte y Recreación,3.0094600000000002
Htal. Ignacio Pirovano,Textil Confección y Calzado ,3.003248
Dir. Gral Centro Cultural Recoleta,Cultura Deporte y Recreación,3.0
Htal. Bernardino Rivadavia,Perfumería Limpieza y Contenedores Comerciales e Industriales,2.9943999999999997
Htal. Ignacio Pirovano,Construcción ,2.9136727000000002
Htal. Cosme Argerich,Reservado para GCBA ,2.8724999999999996
Htal. Jose M.Ramos Mejia,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,2.7112
Htal. Maria Curie,Ferretería,2.6548093
Htal. Maria Curie,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,2.55
Htal. De Quemados,Materia Prima y/o Semi Elaborada No Metálica,2.5496
Htal. Maria Curie,Informática ,2.547268
Htal. De Quemados,Perfumería Limpieza y Contenedores Comerciales e Industriales,2.5210679999999996
Htal. Ricardo Gutierrez,Perfumería Limpieza y Contenedores Comerciales e Industriales,2.44382
Dir.Gral. De Festivales Y Eventos Centrales,Alimentación y Gastronomía,2.403
Htal. Enrique Tornu,Reservado para GCBA ,2.400538
Instituto Pasteur,Perfumería Limpieza y Contenedores Comerciales e Industriales,2.349
Consejo De Los Derechos De Las Niñas Niños Y  Adolescentes,Comunicaciones,2.33199
Ente Autarquico Teatro Colon,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,2.305
Htal.Teodoro Alvarez,Reservado para GCBA ,2.28748
Htal. Santa Lucia,Construcción ,2.1625
Ministerio De Cultura,Comunicaciones,2.14792
Htal. Santa Lucia,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,2.12
Htal. Braulio Moyano,Perfumería Limpieza y Contenedores Comerciales e Industriales,2.0375
Htal. Ramon Sarda,Construcción ,1.993361
Htal. Dalmacio Velez Sarsfield,Construcción ,1.98
Direccion General De Estadisticas Y Censos,Artes Gráficas Duplicación y Equipamiento para Impresión ,1.8644110500000002
Ente Autarquico Instituto De Transplante,Servicios,1.7715
Secretaría De Transporte Y Obras Públicas,Promoción y Publicidad ,1.764
Htal. Cosme Argerich,Textil Confección y Calzado ,1.75
Agencia Ambiental,Salud,1.734835
Dir.Gral.De Compras Y Contrataciones,Ferretería,1.677777
Htal. Santa Lucia,Perfumería Limpieza y Contenedores Comerciales e Industriales,1.6640000000000001
Htal. Parmenio Piñero,Electricidad y Electrónica,1.63038
Htal. Jose M.Ramos Mejia,Culto,1.5887844
Htal. Parmenio Piñero,Comunicaciones,1.548
Plan De Seguridad  Publica,Culto,1.5300795999999999
Htal. Juan A. Fernandez,Construcción ,1.53
Ente De Turismo,Promoción y Publicidad ,1.5193
Htal. Juan A. Fernandez,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,1.50739
Comuna 6,Perfumería Limpieza y Contenedores Comerciales e Industriales,1.5
Instituto Superior De Seguridad Publica,Salud,1.482
Htal. Pedro De Elizalde,Reservado para GCBA ,1.46385
Htal.Teodoro Alvarez,Textil Confección y Calzado ,1.452
Htal. Francisco J.Muñiz,Reservado para GCBA ,1.3548329999999997
Htal. Ignacio Pirovano,Culto,1.348182
Htal. Ricardo Gutierrez,Textil Confección y Calzado ,1.326005
Consejo De Los Derechos De Las Niñas Niños Y  Adolescentes,Informática ,1.308
Ente Autarquico Instituto De Transplante,Construcción ,1.27125
Htal. Pedro De Elizalde,Construcción ,1.24147
Ente Autarquico Teatro Colon,Seguridad ,1.19817
Htal. Parmenio Piñero,Construcción ,1.18058
Agencia Gubernamental De Control,Servicios,1.16383
Htal. Parmenio Piñero,Perfumería Limpieza y Contenedores Comerciales e Industriales,1.152
Htal. Carlos G. Durand,Equipamiento para Oficina,1.1382710999999999
Direccion General De Estadisticas Y Censos,Servicios,1.1
Dir. Gral Complejo Teatral Ciudad De Buenos Aires,Electricidad y Electrónica,1.099
Consejo De Los Derechos De Las Niñas Niños Y  Adolescentes,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,1.0897986
Ente De Turismo,Informática ,1.08242
Cai Cecilia Grierson,Informática ,1.08
Dir.Gral.De Compras Y Contrataciones,Máquinas y Herramientas,1.0659999999999998
Htal. Maria Curie,Equipamiento para Oficina,1.0596
Htal. Enrique Tornu,Textil Confección y Calzado ,1.05
Htal.Teodoro Alvarez,Perfumería Limpieza y Contenedores Comerciales e Industriales,1.0289
Htal. Jose M. Penna,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,1.007418
Htal. Jose M.Ramos Mejia,Informática ,0.97575
Htal. Francisco J.Muñiz,Construcción ,0.9502599999999999
Htal.Donacion Francisco Santojanni,Artes Gráficas Duplicación y Equipamiento para Impresión ,0.94
Htal. Cosme Argerich,Perfumería Limpieza y Contenedores Comerciales e Industriales,0.92957
Htal. Juan A. Fernandez,Alimentación y Gastronomía,0.91475
Htal. Cosme Argerich,Culto,0.90475
Htal. Odontologico Jose Dueñas,Textil Confección y Calzado ,0.9
Ministerio De Justicia Y Seguridad,Servicios,0.875
Consejo De Los Derechos De Las Niñas Niños Y  Adolescentes,Servicios,0.875
Htal.Donacion Francisco Santojanni,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,0.863263
Htal.Donacion Francisco Santojanni,Construcción ,0.8581166
Htal. Dalmacio Velez Sarsfield,Reservado para GCBA ,0.853
Htal. Jose M. Penna,Equipamiento para Oficina,0.80018
Ente Autarquico Teatro Colon,Máquinas y Herramientas,0.792245
Ente Autarquico Teatro Colon,Cultura Deporte y Recreación,0.7878
Instituto Pasteur,Construcción ,0.787432
Htal. Cosme Argerich,Informática ,0.7872072
Htal. Maria Ferrer,Alimentación y Gastronomía,0.77319
Htal. Juan A. Fernandez,Equipamiento para Oficina,0.7608600999999999
Htal. Cosme Argerich,Seguridad ,0.6934752000000001
Htal. Bonorino Udaondo,Culto,0.6865496000000001
Instituto Superior De Seguridad Publica,Equipamiento para Oficina,0.683
Htal. Odontologico Jose Dueñas,Máquinas y Herramientas,0.669
Dir.Gral.Adjunta Same,Construcción ,0.6585
Direccion General De Estadisticas Y Censos,Seguridad ,0.65037
Ente Autarquico Teatro Colon,Muebles,0.65
Htal. Parmenio Piñero,Artes Gráficas Duplicación y Equipamiento para Impresión ,0.62012
Htal. Parmenio Piñero,Alimentación y Gastronomía,0.584
Talleres Protegidos De Rehab.Psiquiat.,Textil Confección y Calzado ,0.558
Consejo De Los Derechos De Las Niñas Niños Y  Adolescentes,Ferretería,0.55174
Htal. Braulio Moyano,Comunicaciones,0.549211
Htal. Dalmacio Velez Sarsfield,Comunicaciones,0.53377
Htal.Teodoro Alvarez,Muebles,0.52528
Htal. Jose M.Ramos Mejia,Muebles,0.48315
Ente Autarquico Teatro Colon,Promoción y Publicidad ,0.481651
Htal. Abel Zubizarreta,Culto,0.456
Htal. Jose M. Penna,Máquinas y Herramientas,0.441
Htal.Teodoro Alvarez,Ferretería,0.4195
Cai Cecilia Grierson,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,0.405
Htal. Maria Curie,Comunicaciones,0.38664
Htal. Jose M. Penna,Materia Prima y/o Semi Elaborada No Metálica,0.37392
Htal.Teodoro Alvarez,Construcción ,0.348
Cai Cecilia Grierson,Comunicaciones,0.3458664
Instituto Superior De Seguridad Publica,Informática ,0.345
Htal. Ricardo Gutierrez,Informática ,0.3432
Ente Autarquico Instituto De Transplante,Textil Confección y Calzado ,0.342
Htal. Juan A. Fernandez,Seguridad ,0.332
Htal. Bernardino Rivadavia,Alimentación y Gastronomía,0.3
Htal. Francisco J.Muñiz,Informática ,0.28290000000000004
Htal.Donacion Francisco Santojanni,Electricidad y Electrónica,0.2592
Htal. Jose M.Ramos Mejia,Alimentación y Gastronomía,0.255
